INFO:root:Heuristic is: return len(grid.getAvailableCells())
INFO:root:Move number=52, number of leaves=59316, time to find=0.013450384140014648
INFO:root:Move number=53, number of leaves=59422, time to find=0.008352994918823242
INFO:root:Move number=54, number of leaves=59677, time to find=0.01505279541015625
INFO:root:Move number=55, number of leaves=59859, time to find=0.012457609176635742
INFO:root:Move number=56, number of leaves=60045, time to find=0.012520551681518555
INFO:root:Move number=57, number of leaves=60277, time to find=0.015508651733398438
INFO:root:Move number=58, number of leaves=60500, time to find=0.014085054397583008
INFO:root:Move number=59, number of leaves=60614, time to find=0.008504390716552734
INFO:root:Move number=60, number of leaves=60909, time to find=0.019327163696289062
INFO:root:Move number=61, number of leaves=61039, time to find=0.011065244674682617
INFO:root:Move number=62, number of leaves=61233, time to find=0.011943578720092773
INFO:root:Move number=63, number of leaves=61612, time to find=0.023525714874267578
INFO:root:Move number=64, number of leaves=61875, time to find=0.01840496063232422
INFO:root:Move number=65, number of leaves=62005, time to find=0.011931657791137695
INFO:root:Move number=66, number of leaves=62122, time to find=0.00997018814086914
INFO:root:Move number=67, number of leaves=62240, time to find=0.009344816207885742
INFO:root:Move number=68, number of leaves=62366, time to find=0.011092185974121094
INFO:root:Move number=69, number of leaves=62434, time to find=0.006016731262207031
INFO:root:Move number=70, number of leaves=62605, time to find=0.01320791244506836
INFO:root:Move number=71, number of leaves=62735, time to find=0.0108184814453125
INFO:root:Move number=72, number of leaves=62813, time to find=0.007570505142211914
INFO:root:Move number=73, number of leaves=63089, time to find=0.01928877830505371
INFO:root:Move number=74, number of leaves=63583, time to find=0.02744603157043457
INFO:root:Move number=75, number of leaves=63839, time to find=0.018382549285888672
INFO:root:Move number=76, number of leaves=64086, time to find=0.016428709030151367
INFO:root:Move number=77, number of leaves=64217, time to find=0.011319160461425781
INFO:root:Move number=78, number of leaves=64337, time to find=0.008913040161132812
INFO:root:Move number=79, number of leaves=64439, time to find=0.008832931518554688
INFO:root:Move number=80, number of leaves=64503, time to find=0.006069660186767578
INFO:root:Move number=81, number of leaves=64626, time to find=0.012618303298950195
INFO:root:Move number=82, number of leaves=64803, time to find=0.011605501174926758
INFO:root:Move number=83, number of leaves=64829, time to find=0.0029795169830322266
INFO:root:Move number=84, number of leaves=64938, time to find=0.010524988174438477
INFO:root:Move number=85, number of leaves=65062, time to find=0.010743141174316406
INFO:root:Move number=86, number of leaves=65158, time to find=0.008006811141967773
INFO:root:Move number=87, number of leaves=65292, time to find=0.010984420776367188
INFO:root:Move number=88, number of leaves=65665, time to find=0.021771669387817383
INFO:root:Move number=89, number of leaves=65911, time to find=0.01658463478088379
INFO:root:Move number=90, number of leaves=66137, time to find=0.014320611953735352
INFO:root:Move number=91, number of leaves=66329, time to find=0.013848304748535156
INFO:root:Move number=92, number of leaves=66520, time to find=0.013582706451416016
INFO:root:Move number=93, number of leaves=66752, time to find=0.013946294784545898
INFO:root:Move number=94, number of leaves=66824, time to find=0.010158061981201172
INFO:root:Move number=95, number of leaves=66962, time to find=0.00973820686340332
INFO:root:Move number=96, number of leaves=67158, time to find=0.020213842391967773
INFO:root:Move number=97, number of leaves=67376, time to find=0.01624584197998047
INFO:root:Move number=98, number of leaves=67639, time to find=0.01827692985534668
INFO:root:Move number=99, number of leaves=67705, time to find=0.0072596073150634766
INFO:root:Move number=100, number of leaves=67801, time to find=0.009823799133300781
INFO:root:Move number=101, number of leaves=67835, time to find=0.004910469055175781
INFO:root:Move number=102, number of leaves=67879, time to find=0.0049593448638916016
INFO:root:Move number=103, number of leaves=67915, time to find=0.0046787261962890625
INFO:root:Move number=104, number of leaves=67937, time to find=0.002806425094604492
INFO:root:Move number=105, number of leaves=67977, time to find=0.0053250789642333984
INFO:root:Move number=106, number of leaves=68075, time to find=0.008680105209350586
INFO:root:Move number=107, number of leaves=68181, time to find=0.010566949844360352
INFO:root:Move number=108, number of leaves=68277, time to find=0.009816408157348633
INFO:root:Move number=109, number of leaves=68299, time to find=0.002819538116455078
INFO:root:Move number=110, number of leaves=68374, time to find=0.009051322937011719
INFO:root:Move number=111, number of leaves=68464, time to find=0.009624242782592773
INFO:root:Move number=112, number of leaves=68508, time to find=0.005220651626586914
INFO:root:Move number=113, number of leaves=68706, time to find=0.012702703475952148
INFO:root:Move number=114, number of leaves=69188, time to find=0.029755115509033203
INFO:root:Move number=115, number of leaves=69727, time to find=0.028908252716064453
INFO:root:Move number=116, number of leaves=70274, time to find=0.02956986427307129
INFO:root:Move number=117, number of leaves=70563, time to find=0.01808333396911621
INFO:root:Move number=118, number of leaves=70840, time to find=0.017778873443603516
INFO:root:Move number=119, number of leaves=71008, time to find=0.013428688049316406
INFO:root:Move number=120, number of leaves=71120, time to find=0.01089930534362793
INFO:root:Move number=121, number of leaves=71278, time to find=0.012627363204956055
INFO:root:Move number=122, number of leaves=71380, time to find=0.01032114028930664
INFO:root:Move number=123, number of leaves=71514, time to find=0.010949850082397461
INFO:root:Move number=124, number of leaves=71887, time to find=0.025620460510253906
INFO:root:Move number=125, number of leaves=72155, time to find=0.019800901412963867
INFO:root:Move number=126, number of leaves=72438, time to find=0.021042585372924805
INFO:root:Move number=127, number of leaves=72575, time to find=0.008620977401733398
INFO:root:Move number=128, number of leaves=72790, time to find=0.016532182693481445
INFO:root:Move number=129, number of leaves=72855, time to find=0.006885051727294922
INFO:root:Move number=130, number of leaves=72919, time to find=0.00581812858581543
INFO:root:Move number=131, number of leaves=73007, time to find=0.008544683456420898
INFO:root:Move number=132, number of leaves=73173, time to find=0.010474920272827148
INFO:root:Move number=133, number of leaves=73400, time to find=0.016835927963256836
INFO:root:Move number=134, number of leaves=73603, time to find=0.015159368515014648
INFO:root:Move number=135, number of leaves=73702, time to find=0.009067296981811523
INFO:root:Move number=136, number of leaves=73756, time to find=0.005433082580566406
INFO:root:Move number=137, number of leaves=73944, time to find=0.013149738311767578
INFO:root:Move number=138, number of leaves=74076, time to find=0.010779380798339844
INFO:root:Move number=139, number of leaves=74228, time to find=0.011346101760864258
INFO:root:Move number=140, number of leaves=74392, time to find=0.013166189193725586
INFO:root:Move number=141, number of leaves=74671, time to find=0.015673160552978516
INFO:root:Move number=142, number of leaves=74811, time to find=0.01105189323425293
INFO:root:Move number=143, number of leaves=74915, time to find=0.008137702941894531
INFO:root:Move number=144, number of leaves=75054, time to find=0.009088993072509766
INFO:root:Move number=145, number of leaves=75330, time to find=0.01977086067199707
INFO:root:Move number=146, number of leaves=75638, time to find=0.020952701568603516
INFO:root:Move number=147, number of leaves=75858, time to find=0.015404939651489258
INFO:root:Move number=148, number of leaves=75980, time to find=0.01017141342163086
INFO:root:Move number=149, number of leaves=76096, time to find=0.010237693786621094
INFO:root:Move number=150, number of leaves=76194, time to find=0.009410619735717773
INFO:root:Move number=151, number of leaves=76263, time to find=0.007158041000366211
INFO:root:Move number=152, number of leaves=76523, time to find=0.01770782470703125
INFO:root:Move number=153, number of leaves=76704, time to find=0.014953136444091797
INFO:root:Move number=154, number of leaves=76835, time to find=0.012030839920043945
INFO:root:Move number=155, number of leaves=76892, time to find=0.006731510162353516
INFO:root:Move number=156, number of leaves=76961, time to find=0.006571769714355469
INFO:root:Move number=157, number of leaves=77131, time to find=0.012023448944091797
INFO:root:Move number=158, number of leaves=77447, time to find=0.022929668426513672
INFO:root:Move number=159, number of leaves=77797, time to find=0.022989273071289062
INFO:root:Move number=160, number of leaves=78452, time to find=0.035599470138549805
INFO:root:Move number=161, number of leaves=78975, time to find=0.029338836669921875
INFO:root:Move number=162, number of leaves=79502, time to find=0.029541015625
INFO:root:Move number=163, number of leaves=79854, time to find=0.023858070373535156
INFO:root:Move number=164, number of leaves=80271, time to find=0.026475906372070312
INFO:root:Move number=165, number of leaves=80507, time to find=0.01586747169494629
INFO:root:Move number=166, number of leaves=80785, time to find=0.017009258270263672
INFO:root:Move number=167, number of leaves=80917, time to find=0.012389183044433594
INFO:root:Move number=168, number of leaves=81102, time to find=0.013552427291870117
INFO:root:Move number=169, number of leaves=81423, time to find=0.018491744995117188
INFO:root:Move number=170, number of leaves=81682, time to find=0.017635107040405273
INFO:root:Move number=171, number of leaves=81904, time to find=0.013336658477783203
INFO:root:Move number=172, number of leaves=81922, time to find=0.002217531204223633
INFO:root:Move number=173, number of leaves=81966, time to find=0.004722118377685547
INFO:root:Move number=174, number of leaves=82053, time to find=0.0069429874420166016
INFO:root:Move number=175, number of leaves=82106, time to find=0.005449533462524414
INFO:root:Move number=176, number of leaves=82302, time to find=0.014168977737426758
INFO:root:Move number=177, number of leaves=82473, time to find=0.01330876350402832
INFO:root:Move number=178, number of leaves=82708, time to find=0.016081571578979492
INFO:root:Move number=179, number of leaves=82908, time to find=0.013204097747802734
INFO:root:Move number=180, number of leaves=82968, time to find=0.00767064094543457
INFO:root:Move number=181, number of leaves=83044, time to find=0.008068561553955078
INFO:root:Move number=182, number of leaves=83115, time to find=0.007592916488647461
INFO:root:Move number=183, number of leaves=83191, time to find=0.007442951202392578
INFO:root:Move number=184, number of leaves=83267, time to find=0.0069425106048583984
INFO:root:Move number=185, number of leaves=83299, time to find=0.004324436187744141
INFO:root:Move number=186, number of leaves=83354, time to find=0.0056285858154296875
INFO:root:Move number=187, number of leaves=83482, time to find=0.010640621185302734
INFO:root:Move number=188, number of leaves=83538, time to find=0.0058135986328125
INFO:root:Move number=189, number of leaves=83569, time to find=0.0044040679931640625
INFO:root:Move number=190, number of leaves=83615, time to find=0.005462646484375
INFO:root:Move number=191, number of leaves=83702, time to find=0.008512020111083984
INFO:root:Move number=192, number of leaves=83788, time to find=0.007816076278686523
INFO:root:Move number=193, number of leaves=83920, time to find=0.01185750961303711
INFO:root:Move number=194, number of leaves=84023, time to find=0.010011911392211914
INFO:root:Move number=195, number of leaves=84072, time to find=0.006136655807495117
INFO:root:Move number=196, number of leaves=84101, time to find=0.004163980484008789
INFO:root:Move number=197, number of leaves=84137, time to find=0.004698514938354492
INFO:root:Move number=198, number of leaves=84196, time to find=0.006943702697753906
INFO:root:Move number=199, number of leaves=84245, time to find=0.006150007247924805
INFO:root:Move number=200, number of leaves=84274, time to find=0.004218101501464844
